sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
C_VM_R1,-1.0186504817967252,5.251555565800407,-8.572104410455362,2.344783178384737,22.23458889909567,-9.032595899573181,-6.545347057155329,-3.3627884117275433,0.26743172194032383,0.9987414061142603,1.029502308961267,-1.0191068487942787,0.55209574086889,-0.6164282070922492,-0.2501445013386221,-0.5447771671501186,0.2709062012375914,0.04192499491552565,0.009038634943292293,-0.038327264658802325,0.01538307125423156,1.737377016234064e-09,1.3452954118933571e-15,-1.0870198372262257e-15,7.767542968858294e-18,-1.1311091504633335e-17,-4.7923577060388865e-17
C_VM_R2,-2.202134337189929,10.210798656903023,-7.425889613574631,16.649760043757993,-6.401585347790606,-3.8195267849173065,1.3617336666910176,0.2637351413507127,-0.31435278552511486,-0.08617966568963022,-1.2432875979178342,-0.6544247353395038,-0.2092655551312406,-0.2508959019661844,0.0464433418055634,0.02423496229103575,-0.02927129066962289,0.004959071592045765,0.0013101621789427273,0.0003983953080946656,-0.00895062439444632,-9.829946018318078e-10,-3.3517245061517266e-15,-4.727652761144608e-15,-6.808639598898763e-17,1.1813960560199049e-16,8.551129538572346e-16
C_VM_R3,-2.202134337189916,10.210798656903007,-7.42588961357462,16.64976004375798,-6.401585347790596,-3.8195267849173025,1.3617336666910174,0.2637351413507121,-0.3143527855251172,-0.08617966568963255,-1.2432875979178355,-0.6544247353395012,-0.20926555513123798,-0.2508959019661816,0.046443341805560666,0.024234962291035844,-0.029271290669621433,0.0049590715920446934,0.001310162178942066,0.0003983953080924235,-0.008950624394446306,-9.829941856262904e-10,6.042315329938442e-15,2.553613086692159e-15,8.362148192670448e-17,-1.4076178861125738e-16,-9.509601079780126e-16
C_PIN_R1,-6.507563345903958,-6.185671053889463,-1.4636253539634312,-2.4224417588927603,-2.3811205140841003,-1.595759179505119,-0.8061079589613704,-1.1224399173926427,-1.8056037456590515,-0.17622945658640535,-0.20275788436810638,-0.06261306352408205,-0.32663321724325123,-0.43000453862412175,-2.5290852523571856,-3.6238865411573227,-1.6290963770096447,3.713961905371299,-0.06619979788107186,6.545958643234055,-1.9459022291150596,-6.03629677739485e-10,1.3452954118933603e-15,-1.0870198372262251e-15,7.76754296885775e-18,-1.1311091504632415e-17,-4.792357706038839e-17
C_PIN_R2,-6.611817572193004,-6.165505885818843,-1.394399353143899,-2.62961083267563,-2.4294810631594483,-1.697696022008792,-0.7297411803925913,-1.3209397027557244,-1.9666304565841963,-0.16532522319156012,-0.1009255723742653,-0.8649026353379698,-0.6436207754866827,-0.4968025484604876,-2.753881777212973,-1.6749841980824072,-3.948330725764332,6.338847738744331,3.1098389761920826,-4.662575495162539,-0.006607241012820812,-1.698848151327219e-11,1.3452954118933563e-15,-1.0870198372262261e-15,7.767542968858593e-18,-1.1311091504633492e-17,-4.792357706038889e-17
C_PIN_R3,-3.841581745999177,-1.8130103385887784,-1.4476974004722878,-0.45420655570401586,7.043443951481196,1.9763116322846686,4.4512062643032575,14.522580925749542,-3.5123248860885754,-9.029462796981068,-3.4944564767350754,-0.5193596039535219,-1.4155861516394919,2.019182440136924,-0.304534071013689,0.3502492511107206,-0.14558630006231574,-0.11780752286278387,0.04722093256554241,0.008586186144020671,-0.005898727635190111,-1.8325303375136272e-09,1.3452954118933557e-15,-1.0870198372262267e-15,7.76754296885811e-18,-1.1311091504633113e-17,-4.792357706038863e-17
C_RM_R1,11.894549573882738,-1.8781450930630526,21.40052021277512,2.409872448579279,2.9162694957054565,-12.384464473377335,9.458291692283115,1.4671509462919274,-1.852757554333158,6.357114891136661,-2.116175250218759,0.043355035334586324,0.09480158867390993,0.7817849854923727,-0.20745550930779524,-0.09660304382021884,-0.03487996828633337,0.03598280835080354,0.04051748834379221,0.03495213163004754,0.04111958212438958,-9.316046967501787e-09,1.345295411893357e-15,-1.087019837226227e-15,7.767542968858295e-18,-1.1311091504633279e-17,-4.7923577060388834e-17
C_RM_R2,-6.049436510404733,-6.001193889918946,-1.2551387281909048,-2.8484202244204533,-2.6125024395048233,-1.3871648298176729,-0.7888562909145951,-1.2493572088410567,-1.1950315367463513,0.3081824247980908,-0.7843841242386933,-1.8451964566058823,-2.7098253372281267,-0.4842946239469896,-2.1574974592934564,1.2560434964982237,10.669205153675408,0.8052278994670106,2.327829385964301,-0.4283527858978979,-0.5644041011675415,-2.1393352748620885e-11,1.3452954118933577e-15,-1.087019837226227e-15,7.767542968858311e-18,-1.1311091504633677e-17,-4.792357706038867e-17
C_RM_R3,-5.2887151423196395,-3.5125309513368648,0.3035918643458126,-1.2231687504782307,-0.8955866888498418,-1.7115624600639987,2.806347831408148,3.867048434719431,16.60529598719136,-0.27778240708664,4.722491965858968,-4.765298962249426,2.1318826119622942,0.4442355379817127,-0.907406492279955,-0.030590358360985212,-0.11536877297868971,0.16583664927085218,-0.009152951538747879,0.04728182326067934,-0.10235122871617051,-5.948966374284687e-10,1.345295411893356e-15,-1.0870198372262247e-15,7.767542968858368e-18,-1.1311091504633347e-17,-4.792357706038856e-17
P_VM_R1,-6.122305625162685,-2.0270679790500474,-2.423595214619357,-0.5003354328450895,-0.2425352880074875,-1.2757895001093866,-0.07953104211345018,1.3142365087867185,4.224989220858679,0.9233630427566758,0.230390947438688,15.082850853317456,0.8870206106543408,1.075738602193946,-1.5405088349422729,-0.29009814012507423,0.9941285640632032,0.04368657222321321,-0.9167285947480212,-0.6297935270217866,-0.1314965507350672,-1.6714984298640023e-10,1.3452954118933577e-15,-1.0870198372262289e-15,7.767542968857801e-18,-1.1311091504632954e-17,-4.792357706038865e-17
