sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
C_VM_R1,-5.9513878146164165,-0.8743172525740176,-2.83330860394763,-3.4461043622035805,17.01004664379525,-6.633142549989845,23.203269262778498,1.0168927926708904,-3.9885557067556143,-2.967931508812372,-1.88243031337479,0.14790788835370905,-0.6473000045375591,-0.3877088141863634,-0.13721709106329238,-0.03666807679069439,-0.3386837952688441,-0.01848847439035297,0.006877334532014969,-0.027508449020234756,0.005526900759134533,7.818646432533595e-15
C_VM_R2,-4.624735549311928,-0.4428896742293338,-0.21062176816903858,-3.846822881396324,20.008356377509298,1.3639193563433858,-13.715471566653944,-14.798123950505515,-8.473248020389612,-0.38898723459413237,1.1116961862488923,-0.6613683758912882,-0.7661826356182918,0.12503241756694433,0.008643989908975289,-0.012522902494983628,0.008218548161118482,-0.006998015808884851,0.004331520901535321,-0.0033138789944200113,-0.018550488962668137,7.818646432533589e-15
C_PIN_R1,-6.361560620306405,-5.111471203568716,-0.40451107815821447,-2.1981668372693464,-5.33292439776116,-2.557604752343096,-1.0143888978873226,0.19139139319558773,-1.734879820742123,-1.3194178097254285,-0.9478074678921724,-2.260951400046118,-0.4094477957152482,-0.5599757444619087,-2.234087435655043,-4.418590425693552,-2.0798597360714766,-2.616226667831394,1.703063852146537,5.7585217114625324,-0.9045723248621466,7.818646432533612e-15
C_PIN_R2,-6.376063661064549,-5.181836985350748,-0.4198699204027127,-2.169129166127293,-5.387706898642315,-2.660185527717581,-1.0598187320980204,0.3074719181047245,-1.7516753077010854,-1.3336315070985718,-1.0973386236396208,-2.383996235929216,-1.1778394772853462,-0.3578637270333834,-2.4406808904673922,-5.092262348331043,0.2802571456419988,-4.064127988564823,-5.0613698550829,-3.0237314722917397,-0.05166648491543334,7.8186464325336e-15
C_PIN_R3,-5.852360038120662,-3.5941511218091233,-1.013918041454567,-1.3849548640139178,0.3829966469441158,-1.1712225755269623,3.2088036009497287,-0.2948873811405377,5.296891363139077,6.637180046871069,18.023053314202915,-2.4124726366132254,-0.495870622850297,0.8917721827953187,-0.2972409108135931,-0.07724560661350612,0.25000904398767687,0.07086570527076302,-0.025206068906028466,0.016459354955870403,0.0019206017246322891,7.818646432533573e-15
C_RM_R1,4.6613780375700316,7.145386193107141,-5.361238231065151,40.28131969348251,0.08256505265878988,-6.751078153466753,-0.3386215719480216,-2.6175209023231774,0.5217826807961277,0.1994546366077059,-0.4942189668124376,-0.3460962397141552,0.18680283867559552,0.02032508969337566,0.014342771070347515,0.020841629433117237,0.025331284820904437,-0.019147171687230947,-0.0019428186756911133,0.007992919753574143,-0.001576203996257311,7.818646432533582e-15
C_RM_R2,-6.295262069112164,-4.822291873706506,-0.6057176254665533,-2.070544376127554,-5.499615683288024,-2.341490301616919,-1.2030921983613985,0.5000532083193397,-1.711895462222816,-1.4515051801613483,-1.1867855142483024,-1.9124583047335317,-2.5397561150915653,3.1429028200485805,-4.9686775154293885,8.06896080686811,-5.240295525818429,-0.06029044483749816,-1.5054458794826415,0.19619619148120523,-0.2273390326801955,7.818646432533585e-15
C_RM_R3,-5.9288111061234945,-4.590686347344396,-0.9396410268851089,-0.8703997492269123,-3.2242182977967317,-1.5537164267697903,-1.4462220394029677,0.6900376108824823,-0.9973637048392797,0.2700142030664964,1.5736365122167548,17.47684507045172,-3.7525381973688887,-1.8526854388409422,-0.49580312094256374,-0.09646963356996288,0.10630528215777274,-0.159903461166614,-0.0388755790540951,0.07677047151248846,-0.05826613650122044,7.818646432533595e-15
P_VM_R1,-6.359200948171287,-4.75881773313897,-0.7470763163586577,-2.377035338655986,-1.4305830419131067,-1.961226736540001,-0.8834794496007411,0.15788287746498447,-0.9217111369429148,-0.5666158005433695,0.21995409366796748,3.068153594816386,14.66702905632345,-0.48023225466882397,-1.1508233618672612,0.9551512441572244,-0.5255995256778191,-0.47758379100639703,0.2590055364258152,-0.5263607247469073,-0.23491645236358885,7.818646432533601e-15
P_VM_R2,-6.287306762416319,-5.010351090932143,-0.3843119439799388,-2.053560890566289,-4.768441576630645,-2.3210550635582856,-0.8893627404827609,0.2285001716971493,-1.5340315654245833,-1.1391709171220372,-0.931116312463347,-1.7005581267923806,0.12001147882960446,-1.82896621553573,0.47900039192319765,-2.1264972184406927,0.3124090701537398,8.222499779467906,-3.097779339992465,1.0201991667484087,-1.0566605635892434,7.818646432533565e-15
