component,variance_explained_pct
PC1,32.11363519306427
PC2,14.80351880629489
PC3,11.202118152515755
PC4,8.718219568407443
PC5,5.632630554498354
PC6,4.9373722181190995
PC7,4.157000621304306
PC8,3.542150618835936
PC9,3.2735695290656217
PC10,2.465348873769995
PC11,1.9327227308158927
PC12,1.6922149941207505
PC13,1.1446460814256951
PC14,0.8977386171217819
PC15,0.7901589071998635
PC16,0.6884211063306286
PC17,0.6827765476512935
PC18,0.4640152373566529
PC19,0.3532661764787317
PC20,0.2739776313583259
PC21,0.2344978342647159
PC22,6.2827576605313734e-30
