component,variance_explained_pct
PC1,24.797721350846057
PC2,16.04367881571065
PC3,9.498454118192306
PC4,9.333092443466265
PC5,6.869545435716831
PC6,5.75497145490932
PC7,5.182459703828672
PC8,3.8516556415813628
PC9,3.3211706018871356
PC10,2.737168892168599
PC11,2.45112744330422
PC12,2.226736601768979
PC13,1.5677086834407872
PC14,1.265015096331767
PC15,1.1394700351844584
PC16,1.0196227936501236
PC17,0.8820344216213716
PC18,0.6941826563092638
PC19,0.6041035063153797
PC20,0.4236332980873052
PC21,0.33644697904577847
PC22,2.6633372947725197e-08
PC23,6.920896704410606e-31
PC24,2.5278989193327872e-31
PC25,1.8047248481074412e-31
PC26,1.8047248481074412e-31
PC27,1.8047248481074412e-31
