muestra_duplicada,gemela_conservada,PC1_proyectado,PC1_gemela,distancia_PC1_PC2
C_VM_R3,C_VM_R2,-4.608570476107999,-4.608570476108,1.9860273225978185e-15
F1_VM_R2,F1_VM_R1,-4.2321622781538615,-4.232162278153859,1.1849778104645678e-14
F1_VM_R3,F1_VM_R1,-4.2321622781538615,-4.232162278153859,1.1849778104645678e-14
F1_RM_R3,F1_RM_R2,-6.329912230091123,-6.329912230091129,1.1916163935586911e-14
