Accession,loading_PC1,in_top15_diff_P_RM_R1,in_top15_diff_F1_PIN_R1
A0A3Q7HQH1,0.055862185829709705,False,False
A0A3Q7HQF1,0.05576844736293995,False,False
A0A3Q7G8S3,0.055741595643348456,False,False
A0A3Q7IB34,0.05511899985625588,False,False
P08196,0.054575623705126135,False,False
A0A3Q7E9M8,0.05454239479873602,False,False
A0A3Q7E9U3,0.05454239479873591,False,False
A0A3Q7E9J6,0.05454239479873586,False,False
A0A3Q7FS41,0.054542394798735856,False,False
A0A3Q7FSH7,0.054542394798735856,False,False
A0A3Q7FY19,0.054542394798735856,False,False
A0A3Q7FZQ7,0.054542394798735856,False,False
A0A3Q7FXP7,0.054542394798735856,False,False
Q672Q7,0.054542394798735856,False,False
D0VNY3,0.054542394798735856,False,False
