sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
C_VM_R1,-5.965350593882151,-1.5016840809923189,-2.6673535007646585,-3.13202862792531,17.420246912002813,-6.375548113100276,23.6842712860665,0.5827631494867086,-3.9062781101983832,-2.7126061398700956,-2.0649212806964767,0.15706040057451065,-0.6546318420236383,-0.4004958862546961,-0.1384203636230621,-0.04198001637419066,-0.348889977360641,-0.018605894193102226,0.006592280613111228,-0.028543436411960724,0.0059186063144915915,4.968327819918882e-10,-5.547835910569488e-15
C_VM_R2,-4.608570476108002,-1.4000785285673052,0.05293815621061017,-3.641179656796611,20.402937862315675,1.9656635255322663,-13.826203927659657,-15.392916409302048,-7.969928634124044,-0.07428822487372023,1.0373931356139177,-0.6911695054730653,-0.7814280322568625,0.12965941556543814,0.007928320626252526,-0.013230865767699692,0.0068464249761728165,-0.006866887833905998,0.004410064811812371,-0.003350230949581504,-0.018954633571470248,-1.8227655479909073e-09,-5.547835910569481e-15
C_PIN_R1,-6.289169973852509,-6.117878145729687,-0.627341065325303,-2.1428813224026104,-5.205246771262557,-2.73400956224851,-1.0536484508504094,0.17014364922700528,-1.8743599827257378,-1.4657113987591486,-0.9767765856367777,-2.292844039207266,-0.3950240721307557,-0.5949758884215085,-2.2801089175583313,-4.531475723537875,-2.0663694045898136,-2.6625493671694067,1.7619320662273572,5.8719854139775185,-0.9193392076136332,-7.811392497256411e-10,-5.5478359105694446e-15
C_PIN_R2,-6.302628062159625,-6.193841288253713,-0.6472909172054044,-2.1126331740961106,-5.256228848340727,-2.839454788194979,-1.1004634547959753,0.29112188965806585,-1.897306931491204,-1.4781297520892174,-1.1299088123736714,-2.416995192094257,-1.1858789362486368,-0.38842852146111745,-2.493751920807058,-5.190389660449135,0.3654635138317575,-4.135402323705593,-5.172191631340624,-3.074740186755563,-0.0645827883549101,4.3761972778954424e-13,-5.547835910569496e-15
C_PIN_R3,-5.813006803817779,-4.278190160222509,-1.2269571501126164,-1.3535850678682253,0.3397771122957335,-1.2342106263947736,3.216150787246617,-0.09467169897050615,5.378787302165028,5.790446558832045,18.596133119614805,-2.578183957578483,-0.49866719603420157,0.9239108550201779,-0.3064298960220753,-0.07378343562695579,0.2620656759372339,0.07507073088518093,-0.026374359301308017,0.017985515491754155,0.0032822663384975133,-2.18868871555827e-09,-5.547835910569473e-15
C_RM_R1,4.661425591103261,5.671602824358278,-2.3618148730722073,41.48419668299774,0.25402889149936303,-6.803195842878141,-0.3814662506435169,-2.59779284565051,0.6979924728847515,0.46492721027877254,-0.5444076222368819,-0.3516888787343191,0.19045892356322677,0.023208196326849447,0.012765478614865764,0.021848586194495867,0.023721930422116125,-0.019385376243178695,-0.002200079753985565,0.008374696519326444,-0.0014127544269069803,-4.3976038594517985e-09,-5.54783591056947e-15
C_RM_R2,-6.2290215890188945,-5.790963103373229,-0.795880762870343,-1.9972443185705548,-5.383036809147602,-2.5226941669701626,-1.2474267795930203,0.4890821174236433,-1.8822460968206949,-1.6402799937057506,-1.2074061540085763,-1.9279137709480045,-2.5799444046240727,3.153077865713961,-5.065300955160244,8.148561492694883,-5.454521058414155,-0.05710317683786456,-1.5509057816953817,0.2072157734479076,-0.23141061927099182,-5.037457788605793e-10,-5.547835910569479e-15
C_RM_R3,-5.8571800861923435,-5.495086817763935,-1.0876408076818465,-0.767783860998222,-3.095155019011556,-1.6462090390457547,-1.4769168632166643,0.6974335539616002,-1.118810838432353,0.03938577282126064,1.8072024877394661,17.763805912304786,-3.812892344224925,-1.913543869770013,-0.4961650678906757,-0.09787216019600509,0.11323626464580666,-0.1628597896427558,-0.03981996287755499,0.07999754910632537,-0.05877473991583276,-1.1947178691514353e-09,-5.5478359105694856e-15
P_VM_R1,-6.295047466297246,-5.654677029698634,-0.9753085205035309,-2.318907678892578,-1.2567322967449497,-1.998630826024937,-0.8890779000061405,0.12066360744531905,-0.9506792042366942,-0.579333723505601,0.21992714717601386,3.1243336461013147,14.937424925052271,-0.4819322306742057,-1.1607437992069634,0.9777017478010416,-0.5389976109003809,-0.48901564985766977,0.2625191555689816,-0.5412578127798819,-0.23973380188798568,-1.900292155825059e-10,-5.5478359105694785e-15
P_VM_R2,-6.21496122281582,-6.001594361514673,-0.6012639259588268,-2.000491568575642,-4.640651003188138,-2.47246851766978,-0.9197752448447883,0.2071293797172189,-1.6502100987024544,-1.2448169979281891,-0.9663672708520178,-1.723431195670448,0.13891000209800444,-1.872980557703575,0.49948862389451065,-2.158465601454617,0.37106779674958507,8.393870496720321,-3.142092459827975,1.048399804932744,-1.0772798610532823,-4.470135335511182e-10,-5.547835910569483e-15
