component,variance_explained_pct
PC1,31.872721809878364
PC2,15.323943939493304
PC3,11.350742234271522
PC4,8.65733461021277
PC5,5.535664567475867
PC6,4.86134990571603
PC7,4.091940385283968
PC8,3.488474613519578
PC9,3.225723674605356
PC10,2.512294973500706
PC11,1.9117167940944733
PC12,1.6746848191527557
PC13,1.1348300860858358
PC14,0.8929687559659764
PC15,0.7853363164397005
PC16,0.6835151698609874
PC17,0.6769669475298387
PC18,0.4618360135346565
PC19,0.35173836036388995
PC20,0.2731953689737107
PC21,0.23302063609850657
PC22,1.794221525519974e-08
PC23,3.163256247749669e-30
